Sl. No.,Name of the State,No. of Projects,Amt. Sanctioned,Amt. Released,Amt. Utilised,Status - Ongoing,Status - Completed
1,Andhra Pradesh,4,6278.73,2269.67,2269.68,4,0
2,Arunachal Pradesh,16,6612.5,2597.08,2277.71,9,7
3,Bihar,1,500,100,100,NA,NA
4,Delhi,2,2461.91,1465.61,935.98,1,1
5,Goa,2,50,50,50,0,2
6,Gujarat,1,486.75,389.4,0,1,0
7,Himachal Pradesh,11,3029.88,2433.89,2433.81,5,6
8,Jammu and Kashmir,25,11260,4765.34,2846.4,23,2
9,Jharkhand,2,4885.71,2142.35,555.7,2,0
10,Kerala,6,7826.53,2345.69,2243.96,5,1
11,Maharashtra,5,7914.79,1602.96,1129.23,4,1
12,Manipur,7,3595.62,759.09,360.86,6,1
13,Meghalaya,1,17.94,17.94,17.94,0,1
14,Mizoram,3,49.15,49.15,49.15,0,3
15,Madhya Pradesh,20,20989.75,9376.02,10579.9,17,3
16,Nagaland,11,4556.66,2013.32,1544.33,8,3
17,Odisha,2,61.3,61.3,61.3,0,2
18,Punjab,2,50,50,50,0,2
19,Sikkim,13,7020.18,2656.85,1856.85,13,0
20,Tamil Nadu,2,2041.97,1116.17,243.84,2,0
21,Telangana,5,4191.34,3016.47,2690.41,4,1
22,Uttar Pradesh,12,3486.15,2011.97,1768.78,11,1
23,Uttarakhand,2,1297.47,1037.97,1057.97,1,1
24,West Bengal,3,4694.46,2360.23,0,3,0
Total,Total,158,103358.79,44688.47,35123.8,119,38
