Sl. No.,State/UT,2018-2019 - Nos. of Orgs,2018-2019 - Amount,2019-2020 - Nos. of Orgs,2019-2020 - Amount,2020-2021 - Nos. of Orgs,2020-2021 - Amount
1,Andhra Pradesh,3,9.48,NA,NA,2,4.18
2,Arunachal Pradesh,1,8.4,NA,NA,1,4.8
3,Assam,18,182.16,11,108.9,7,53.4
4,Bihar,21,137.82,23,151.74,33,181.6
5,Chandigarh,7,55.2,NA,NA,1,14.16
6,NCT of Delhi,68,409.68,43,348.66,54,439.6
7,Gujarat,5,37.2,4,13.2,8,44.96
8,Haryana,1,1.32,11,49.68,4,21.94
9,Himachal Pradesh,NA,NA,5,52.32,1,9.84
10,Jammu and Kashmir,6,40.56,7,23.28,9,59.58
11,Jharkhand,5,37.2,2,13.02,1,2.64
12,Karnataka,53,272.49,76,624.3,47,291.94
13,Kerala,14,107.7,15,115.2,9,90.6
14,Madhya Pradesh,21,149.04,33,231.33,42,294.12
15,Maharashtra,26,167.1,26,197.76,23,156.04
16,Manipur,64,404.94,49,382.38,62,420.52
17,Mizoram,2,9.6,1,5.52,NA,NA
18,Odisha,29,142.68,18,91.62,22,107.08
19,Pondicherry,2,9.6,2,11.28,2,12.72
20,Punjab,3,14.64,4,17.4,3,24.48
21,Rajasthan,5,20.4,5,31.8,2,16.32
22,Tamil Nadu,5,14.4,5,26.59,10,49.54
23,Telangana,13,93.24,10,62.14,7,75
24,Tripura,NA,NA,4,24.96,1,6.36
25,Uttarakhand,5,24.12,6,9.72,6,20.86
26,Uttar Pradesh,27,146.52,39,242.84,33,161.57
27,West Bengal,141,851.88,175,1160.1,139,916.3
Total,Total,545,3347.37,574,3995.74,529,3480.15
